#Answer.URL,WEBSITE,Input.Input-URL,Answer.ADDRESS1,Answer.CITY,ANSWER.STATE_NAME,COUNTRY,Answer.ZIP,Answer.MAP_URL,Answer.PHONE,CHAIN,TYPE,OPEN_DATE,Answer.PHOTO_URL,RATING,LAST_VERIFIED,LAT,LNG,HOTELID
avid hotel Corpus Christi - Portland,www.ihg.com,https://www.ihg.com/avidhotels/hotels/us/en/portland/rkppt/hoteldetail,281 Buddy Ganem Dr.,Portland,TX,USA,78374,"https://www.google.com/maps?q=281+Buddy+Ganem+Dr.,+Portland,+Texas,+78374",361-3604444,IHG,CHAIN,2021-04-01,HTTP://www.ihg.com/,0,2021-06-01,27.899977,-97.312515,NULL
Avid Hotel Fort Worth,www.ihg.com,https://www.ihg.com/avidhotels/hotels/us/en/fort-worth/ftwav/hoteldetail,6225 Sandshell Drive,Fort Worth,TX,USA,76137,https://www.ihg.com/avidhotels/hotels/us/en/fort-worth/ftwav/hoteldetail,1-817-2328402,IHG,CHAIN,2021-04-15,"https://digital.ihg.com/is/image/ihg/avid-hotels-fort-worth-6413839268-2x1?wid=1024&hei=512&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0",0,2021-06-01,32.857124,-97.311714,NULL
avid hotel Milwaukee West - Waukesha,www.ihg.com,https://www.ihg.com/avidhotels/hotels/us/en/waukesha/mkeav/hoteldetail,2101 Meadow Lane,Pewaukee,WI,USA,53072,"https://www.google.com/maps/dir//43.0419717,-88.2612096/@43.0419503,-88.3312494,12z/data=!3m1!4b1",262-367-5750,IHG,CHAIN,2021-04-01,"https://digital.ihg.com/is/image/ihg/avid-hotels-pewaukee-6634164950-2x1?wid=1024&hei=512&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0",0,2021-06-01,43.041973,-88.261208,NULL
Azure Palm Hot Springs Resort & Day Spa Oasis,azurepalmhotsprings.com,https://azurepalmhotsprings.com/,67589 Hacienda Avenue,Desert Hot Springs,CA,USA,92240,"https://www.google.com/maps/place/67589+Hacienda+Ave,+Desert+Hot+Springs,+CA+92240/@33.953699,-116.481814,16z/data=!4m5!3m4!1s0x80db1f626769f451:0x66382944a9715748!8m2!3d33.9536986!4d-116.481814?hl=en",760.251.2000,OTHER,BOUTIQUE,2021-04-01,https://azurepalmhotsprings.com/dev/wp-content/uploads/2021/03/Maria-pool-view-6_hero_main_6.jpg?id=3245,0,2021-06-01,33.953697,-116.481812,NULL
"Bellyard, West Midtown Atlanta, a Tribute Portfolio Hotel",www.marriott.com,https://www.marriott.com/hotels/travel/atltm-bellyard-west-midtown-atlanta-a-tribute-portfolio-hotel/,1 Interlock Avenue NW,Atlanta,GA,USA,30318,https://www.marriott.com/hotels/maps/travel/atltm-bellyard-west-midtown-atlanta-a-tribute-portfolio-hotel/,404-806-8333,MARRIOTT,BOUTIQUE,2021-04-01,https://cache.marriott.com/marriottassets/marriott/ATLTM/atltm-exterior-3681-hor-clsc.jpg,0,2021-06-01,33.784908,-84.410263,NULL
Callicoon Hills,callicoonhills.com,https://callicoonhills.com/,"1 HILLS RESORT ROAD,",CENTERSULL,NY,USA,12724,https://callicoonhills.com/wp-content/uploads/2021/05/CH-Map-big.jpg,(845) 482-2420,OTHER,BOUTIQUE,2021-06-01,https://callicoonhills.com/wp-content/uploads/2021/05/ROOMS-PAGE_BOARDINGHOUSE.png,0,2021-06-01,41.839962,-74.94648,NULL
Cambria Hotel Orlando Airport,www.choicehotels.com,https://www.choicehotels.com/florida/orlando/cambria-hotels/fle65,7986 Conway Road,Orlando,FL,USA,32812,https://www.choicehotels.com/florida/orlando/cambria-hotels/fle65,407-652-6284,CHOICE,CHAIN,2021-04-26,https://www.choicehotels.com/hotelmedia/US/FL/orlando/FLE65/2048/FLE65TempKing_1.jpg,0,2021-06-01,28.452579,-81.333389,NULL
Canopy by Hilton San Antonio Riverwalk,www.hilton.com,https://www.hilton.com/en/hotels/satpypy-canopy-san-antonio-riverwalk/,123 N. Saint Marys St.,San Antonio,TX,USA,78205,https://www.hilton.com/en/hotels/satpypy-canopy-san-antonio-riverwalk/hotel-location/,210-404-7516,HILTON,CHAIN,2021-04-15,https://i.travelapi.com/hotels/1000000/20000/10700/10636/89c5d5f5_b.jpg,0,2021-06-01,29.424763,-98.491539,106023
Cincinnati Marriott at RiverCenter,www.marriott.com,https://www.marriott.com/hotels/travel/cvgdr-cincinnati-marriott-at-rivercenter/,10 West RiverCenter Boulevard,Covington,KY,USA,41011,https://www.marriott.com/hotels/maps/travel/cvgdr-cincinnati-marriott-at-rivercenter/,859-261-2900,MARRIOTT,CHAIN,2021-04-01,https://i.travelapi.com/hotels/1000000/20000/16600/16521/c7416a64_b.jpg,0,2021-06-01,39.089916,-84.512138,123848
Courtyard by Marriott Atlanta Duluth/Gwinnett Place,www.marriott.com,https://www.marriott.com/hotels/travel/atlch-courtyard-atlanta-duluth-downtown/,3550 Venture Pkwy,Duluth,GA,USA,30096,"https://maps.google.com/?q=Courtyard+by+Marriott+Atlanta+Duluth%2FGwinnett+Place&sll=33.95437,-84.12987",,MARRIOTT,BOUTIQUE,2021-05-01,https://i.travelapi.com/hotels/1000000/10000/6800/6702/135c4151_b.jpg,0,2021-05-31,33.954369,-84.129868,138096
Courtyard by Marriott Edgewater NYC Area,www.marriott.com,https://www.marriott.com/hotels/travel/flllc-courtyard-fort-lauderdale-downtown/,3 Pembroke Place,Edgewater,NJ,USA,07020,"https://maps.google.com/?q=Courtyard+by+Marriott+Edgewater+NYC+Area&sll=40.80354,-73.99196",,MARRIOTT,BUSINESS,2021-04-01,https://i.travelapi.com/hotels/14000000/13170000/13166600/13166557/c04437bc_b.jpg,0,2021-05-31,40.803539,-73.991959,566153
Delta Hotels Virginia Beach Bayfront Suites,www.marriott.com,https://www.marriott.com/hotels/travel/orfdb-delta-hotels-virginia-beach-bayfront-suites/,2800 Shore Drive,Virginia Beach,VA,USA,23451,https://www.marriott.com/hotels/maps/travel/orfdb-delta-hotels-virginia-beach-bayfront-suites/,757-481-9000,MARRIOTT,CHAIN,2021-04-01,https://i.travelapi.com/hotels/1000000/20000/10200/10166/40ad1f81_b.jpg,0,2021-06-01,36.913658,-76.068474,117121
DoubleTree by Hilton Hotel Cocoa Beach Oceanfront,www.hilton.com,https://www.hilton.com/en/hotels/mlbasdt-doubletree-cocoa-beach-oceanfront/,2080 North Atlantic Avenue,Cocoa Beach,FL,USA,32931,https://www.hilton.com/en/hotels/mlbasdt-doubletree-cocoa-beach-oceanfront/hotel-location/,321-783-9222,HILTON,CHAIN,2021-06-09,https://www.hilton.com/im/en/MLBASDT/14417453/guestroom-1.jpg?impolicy=crop&cw=4555&ch=3374&gravity=NorthWest&xposition=722&yposition=0&rw=424&rh=314,0,2021-06-01,28.343216,-80.606758,NULL
DoubleTree Suites by Hilton Santa Monica,www.hilton.com,https://www.hilton.com/en/hotels/smosmhh-hilton-santa-monica/,1707 4th St,Santa Monica,CA,USA,90401,"https://maps.google.com/?q=DoubleTree+Suites+by+Hilton+Santa+Monica&sll=34.01120,-118.48902",,HILTON,Newly Renovated,2021-04-01,https://i.travelapi.com/hotels/1000000/10000/3000/2944/de2e71f6_b.jpg,0,2021-05-31,34.0112,-118.489021,121329
Element Philadelphia,www.marriott.com,https://www.marriott.com/hotels/travel/phlel-element-philadelphia/,1441 Chestnut Street,Philadelphia,PA,USA,19102,https://www.marriott.com/hotels/maps/travel/phlel-element-philadelphia/,215-709-9000,MARRIOTT,CHAIN,2021-05-01,https://cache.marriott.com/marriottassets/marriott/PHLEL/phlel-exterior-3205-hor-feat.jpg,0,2021-06-01,39.951523,-75.165207,NULL
Embassy Suites by Hilton Charleston Harbor Mt. Pleasant,www.hilton.com,https://www.hilton.com/en/hotels/chssces-embassy-suites-charleston-harbor-mt-pleasant/,100 Ferry Wharf Road,Mt. Pleasant,SC,USA,29464,https://www.hilton.com/en/hotels/chssces-embassy-suites-charleston-harbor-mt-pleasant/hotel-location/,843-981-5700,HILTON,CHAIN,2021-03-15,https://www.hilton.com/im/en/CHSSCES/15344341/main-hotel-photo-2.jpg,0,2021-06-01,32.799797,-79.902428,NULL
Fairfield Inn & Suites Santa Rosa Rohnert Park,www.marriott.com,https://www.marriott.com/hotels/travel/stsfi-fairfield-inn-and-suites-santa-rosa-rohnert-park/,405 Martin Ave,Rohnert Park,CA,USA,94928,https://www.marriott.com/hotels/maps/travel/stsfi-fairfield-inn-and-suites-santa-rosa-rohnert-park/,707-796-7500,MARRIOTT,CHAIN,2021-04-01,https://cache.marriott.com/marriottassets/marriott/STSFI/stsfi-entrance-9941-hor-feat.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1180px:*,0,2021-06-01,38.35099,-122.719032,NULL
Four Points by Sheraton Appleton,www.marriott.com,https://www.marriott.com/hotels/travel/atwfp-four-points-appleton/,300 North Mall Drive,Appleton,WI,USA,54913,https://www.marriott.com/hotels/maps/travel/atwfp-four-points-appleton/,920-257-4111,MARRIOTT,CHAIN,2021-05-01,https://i.travelapi.com/hotels/1000000/50000/43200/43147/6f8dc5c9_b.jpg,0,2021-06-01,44.264141,-88.472099,113493
Four Points By Sheraton Salt Lake City Airport,www.starwoodhotels.com,https://www.starwoodhotels.com/preferredguest/property/overview/index.html?propertyID=4629,200 N Admiral Byrd Road,Salt Lake City,UT,USA,84116,https://www.starwoodhotels.com/preferredguest/property/area/directions.html?propertyID=4629,801-746-5200,STARWOOD,BUSINESS,2108-04-01,https://i.travelapi.com/hotels/1000000/10000/8900/8872/8b5057b1_b.jpg,0,2018-03-17,40.772511,-112.021507,118414
Four Seasons Hotel Denver,www.fourseasons.com,https://www.fourseasons.com/denver/,1111 14th St,Denver,CO,USA,80202,"https://maps.google.com/?q=Four+Seasons+Hotel+Denver&sll=39.74632,-104.99846",,FOURSEASONS,Newly Renovated,2021-05-01,https://i.travelapi.com/hotels/4000000/3850000/3849400/3849336/8290ab7e_b.jpg,0,2021-05-31,39.746319,-104.998459,356449
Hampton Inn & Suites Houston East Beltway 8,www.hilton.com,https://www.hilton.com/en/hotels/houebhx-hampton-suites-houston-east-beltway-8/,14120 Karissa Ct,Houston,TX,USA,77049,https://www.hilton.com/en/hotels/houebhx-hampton-suites-houston-east-beltway-8/hotel-location/,281-741-3816,HILTON,CHAIN,2021-05-01,https://www.hilton.com/im/en/HOUEBHX/15520913/c54a8858-59-60.jpg,0,2021-06-01,29.8242,-95.169998,NULL
Hampton Inn Blue Ridge,www.hilton.com,https://www.hilton.com/en/hotels/chabrhx-hampton-blue-ridge/,50 W. Main Street,Blue Ridge,GA,USA,30513,https://www.hilton.com/en/hotels/chabrhx-hampton-blue-ridge/hotel-location/,706-642-9001,HILTON,CHAIN,2021-05-01,https://www.hilton.com/im/en/CHABRHX/15327919/hampton-inn-render-adjusted.jpg?impolicy=crop&cw=4657&ch=2607&gravity=NorthWest&xposition=0&yposition=196&rw=768&rh=430,0,2021-06-01,34.868198,-84.323311,NULL
Hampton Inn Boston at the Seaport,www.hilton.com,https://www.hilton.com/en/hotels/bosbahx-hampton-boston-seaport/,670 Summer Street,Boston,MA,USA,02210,https://www.hilton.com/en/hotels/bosbahx-hampton-boston-seaport/hotel-location/,857-356-3033,HILTON,CHAIN,2021-04-15,https://www.hilton.com/im/en/MultiHotel/14462651/parcel-a-hotel-3000x3000-v2.jpg?impolicy=crop&cw=3000&ch=1679&gravity=NorthWest&xposition=0&yposition=660&rw=768&rh=430,0,2021-06-01,42.344013,-71.037773,NULL
Hampton Inn Smithfield Selma,www.hilton.com,https://www.hilton.com/en/hotels/rdusshx-hampton-smithfield-selma/,160 Towne Centre Place,Smithfield,NC,USA,27577,https://g.page/Hampton-Inn-Smithfield?share,919-965-6151,HILTON,CHAIN,2021-03-01,https://www.hilton.com/im/en/RDUSSHX/15023258/hi-smithfield-e-front.jpg?impolicy=crop&cw=5000&ch=2799&gravity=NorthWest&xposition=0&yposition=266&rw=768&rh=430,0,2021-03-06,35.503403,-78.325745,NULL
Hilton Alpharetta Atlanta,www.hilton.com,https://www.hilton.com/en/hotels/atltehh-hilton-alpharetta-atlanta/,5775 Windward Parkway,Alpharetta,GA,USA,30005,https://www.hilton.com/en/hotels/atltehh-hilton-alpharetta-atlanta/hotel-location/,678-240-9222,HILTON,CHAIN,2021-03-15,https://www.hilton.com/im/en/ATLTEHH/15508991/atlte-exterior-01.jpg,0,2021-06-01,34.087906,-84.259102,NULL
Hilton Aventura Miami,www.hilton.com,https://www.hilton.com/en/hotels/fllavhh-hilton-aventura-miami/,2885 NE 191st Street,Aventura,FL,USA,33180,https://www.hilton.com/en/hotels/fllavhh-hilton-aventura-miami/hotel-location/,305-466-7775,HILTON,CHAIN,2021-04-01,https://www.hilton.com/im/en/FLLAVHH/14673700/fllav-aerial-night-002.jpg,0,2021-06-01,25.952642,-80.143143,NULL
Homewood Suites by Hilton Boston at the Seaport,www.hilton.com,https://www.hilton.com/en/hotels/bossyhw-homewood-suites-boston-seaport/,670 Summer Street,Boston,MA,USA,02210,https://www.hilton.com/en/hotels/bossyhw-homewood-suites-boston-seaport/hotel-location/,857-356-3033,HILTON,CHAIN,2021-04-15,https://www.hilton.com/im/en/MultiHotel/14462651/parcel-a-hotel-3000x3000-v2.jpg?impolicy=crop&cw=3000&ch=1679&gravity=NorthWest&xposition=0&yposition=660&rw=768&rh=430,0,2021-06-01,42.344013,-71.037773,NULL
Homewood Suites by Hilton Tuscaloosa Downtown,www.hilton.com,https://www.hilton.com/en/hotels/tcluahw-homewood-suites-tuscaloosa-downtown/,2451 Jack Warner Parkway West,Tuscaloosa,AL,USA,35401,https://www.hilton.com/en/hotels/tcluahw-homewood-suites-tuscaloosa-downtown/hotel-location/,205-349-2727,HILTON,CHAIN,2021-04-01,https://www.hilton.com/im/en/TCLUAHW/15445958/dsc-1052-3-4.jpg,0,2021-06-01,33.211815,-87.571732,NULL
Hotel Drover,hoteldrover.com,https://hoteldrover.com/,200 MULE ALLEY DRIVE,FORT WORTH,TX,USA,76164,"https://www.google.com/maps/place/Mule+Alley,+Fort+Worth,+TX+76164/data=!4m2!3m1!1s0x864e76a67f7db53d:0xc3d399f15bd452ba?sa=X&ved=2ahUKEwiutqyAhfLuAhXMrJ4KHdmQCwcQ8gEwAHoECAoQAQ",817-755-5557,OTHER,BOUTIQUE,2021-04-01,https://hoteldrover.com/app/uploads/2021/03/01_97_WEST-0068_rsf-315x325.jpg,0,2021-06-01,32.786758,-97.347527,NULL
Hotel Indigo Columbus at Riverfront Place,www.ihg.com,https://www.ihg.com/hotelindigo/hotels/us/en/columbus/csggo/hoteldetail,21 West 14th Street,Columbus,GA,USA,31901,"https://www.google.com/maps?q=32.4726524,-84.9929974",706-7807800,IHG,BOUTIQUE,2021-03-01,HTTP://www.ihg.com/,0,2021-06-01,32.472652,-84.992996,NULL
Hotel Indigo Miami Brickell,www.ihg.com,https://www.ihg.com/hotelindigo/hotels/us/en/miami/miani/hoteldetail,145 SW 11th Stree,Miami,FL,USA,33130,https://www.ihg.com/hotelindigo/hotels/us/en/miami/miani/hoteldetail,305-860-3874,IHG,BOUTIQUE,2021-03-01,HTTP://www.ihg.com/,0,2021-06-01,25.763527,-80.196632,NULL
Hotel Lulu,hotellulu.com,https://hotellulu.com/,1850 S Harbor Blvd,Anaheim,CA,USA,92802,https://hotellulu.com/interactive-map/,657-688-5858,OTHER,BOUTIQUE,2021-05-15,https://i.travelapi.com/hotels/1000000/30000/21000/20965/2119c6ac_b.jpg,0,2021-06-01,33.801777,-117.914284,132051
"Hotel Melby Downtown Melbourne, Tapestry Collection by Hilton",www.hilton.com,https://www.hilton.com/en/hotels/mlbskup-hotel-melby-downtown-melbourne/,801 E Strawbridge Ave.,Melbourne,FL,USA,32901,https://www.hilton.com/en/hotels/mlbskup-hotel-melby-downtown-melbourne/hotel-location/,321-361-3663,HILTON,BOUTIQUE,2021-04-01,https://www.hilton.com/im/en/MLBSKUP/14704347/hotel-melby-exterior.jpg?impolicy=crop&cw=5000&ch=2799&gravity=NorthWest&xposition=0&yposition=304&rw=768&rh=430,0,2021-06-01,28.079081,-80.60759,NULL
Hyatt Centric Beale Street Memphis,www.hyatt.com,https://www.hyatt.com/en-US/hotel/tennessee/hyatt-centric-beale-street-memphis/memct,33 Beale Street,Memphis,TN,USA,38103,https://www.hyatt.com/en-US/hotel/tennessee/hyatt-centric-beale-street-memphis/memct/maps-parking-transportation,901-444-3232,HYATT,CHAIN,2021-04-15,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/11/27/0904/Hyatt-Centric-Memphis-P006-Two-Queen-Guestoom.jpg/Hyatt-Centric-Memphis-P006-Two-Queen-Guestoom.16x9.jpg,0,2021-06-01,35.140793,-90.056679,NULL
Hyatt House Davis,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/hyatt-house-davis/smfxd,2750 Cowell Blvd.,Davis,CA,USA,95618,https://www.hyatt.com/en-US/hotel/california/hyatt-house-davis/smfxd/maps-parking-transportation,530-746-5800,HYATT,CHAIN,2021-04-15,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/05/18/1200/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.jpg/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.16x9.jpg,0,2021-06-01,38.546886,-121.717735,NULL
Hyatt House North Scottsdale,www.hyatt.com,https://www.hyatt.com/en-US/hotel/arizona/hyatt-house-north-scottsdale/phxxn,18513 North Scottsdale Road,Scottsdale,AZ,USA,85255,https://www.hyatt.com/en-US/hotel/arizona/hyatt-house-north-scottsdale/phxxn/maps-parking-transportation,480-590-8100,HYATT,CHAIN,2021-04-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/12/04/1633/Hyatt-Place-North-Scottsdale-R001-Exterior.jpg/Hyatt-Place-North-Scottsdale-R001-Exterior.16x9.jpg,0,2021-06-01,33.651997,-111.923386,NULL
Hyatt House Portland / Beaverton,www.hyatt.com,https://www.hyatt.com/en-US/hotel/oregon/hyatt-house-portland-beaverton/pdxxb,12820 SW Crescent Street,Beaverton,OR,USA,97005,https://g.page/hyatt-house-portland-beaverton?share,971-306-5858,HYATT,CHAIN,2021-03-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/12/14/1441/Hyatt-House-Portland-Beaverton-R001-Corner-Exterior.jpg/Hyatt-House-Portland-Beaverton-R001-Corner-Exterior.16x9.jpg?imwidth=1920,0,2021-03-06,45.490685,-122.809143,NULL
Hyatt House Rochester / Mayo Clinic Area,www.hyatt.com,https://www.hyatt.com/en-US/hotel/minnesota/hyatt-house-rochester-mayo-clinic/rstxr,110 Civic Center Drive NW,Rochester,MN,USA,55901,https://www.hyatt.com/en-US/hotel/minnesota/hyatt-house-rochester-mayo-clinic/rstxr/maps-parking-transportation,507-361-4649,HYATT,CHAIN,2021-04-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/12/29/1703/Hyatt-House-Rochester-Mayo-Clinic-R001-Exterior.jpg/Hyatt-House-Rochester-Mayo-Clinic-R001-Exterior.16x9.jpg,0,2021-06-01,44.026798,-92.46505,NULL
Hyatt House Tampa Downtown,www.hyatt.com,https://www.hyatt.com/en-US/hotel/florida/hyatt-house-tampa-downtown/tpaxd,325 N Florida Ave,Tampa,FL,USA,33602,https://goo.gl/maps/9DtwRdrHTZwzG6Y97,813-616-1234,HYATT,CHAIN,2021-03-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/11/05/1825/Hyatt-Place-Tampa-Downtown-R006-Hotel-Exterior.jpg/Hyatt-Place-Tampa-Downtown-R006-Hotel-Exterior.16x9.jpg?imwidth=1920,0,2021-03-06,27.947245,-82.456757,NULL
Hyatt Place Fort Worth / TCU,www.hyatt.com,https://www.hyatt.com/en-US/hotel/texas/hyatt-place-fort-worth-tcu/dfwzu,3029 Sandage Ave,Fort Worth,TX,USA,76109,https://goo.gl/maps/D8ypgd5WBubE6d289,682-385-9743,HYATT,CHAIN,2021-03-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/10/20/1201/Hyatt-Place-Columbia-Downtown-the-Vista-P022-King-Room-Bed.jpg/Hyatt-Place-Columbia-Downtown-the-Vista-P022-King-Room-Bed.16x9.jpg?imwidth=1920,0,2021-03-06,32.707344,-97.354317,NULL
Hyatt Place Scottsdale - North,www.hyatt.com,https://www.hyatt.com/en-US/hotel/arizona/hyatt-place-scottsdale-north/phxzs,18513 North Scottsdale Road,Scottsdale,AZ,USA,85255,https://www.hyatt.com/en-US/hotel/arizona/hyatt-place-scottsdale-north/phxzs/maps-parking-transportation,480-590-8100,HYATT,CHAIN,2021-04-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/12/04/1633/Hyatt-Place-North-Scottsdale-R001-Exterior.jpg/Hyatt-Place-North-Scottsdale-R001-Exterior.16x9.jpg,0,2021-06-01,33.651997,-111.923386,NULL
Hyatt Place Tampa Downtown,www.hyatt.com,https://www.hyatt.com/en-US/hotel/florida/hyatt-place-tampa-downtown/tpazd,325 N Florida Avenue,Tampa,FL,USA,33602,https://goo.gl/maps/LfTecv5bioT2zGPH6,813-616-1234,HYATT,CHAIN,2021-03-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2020/11/05/1825/Hyatt-Place-Tampa-Downtown-R007-Hotel-Exterior.jpg/Hyatt-Place-Tampa-Downtown-R007-Hotel-Exterior.16x9.jpg?imwidth=1920,0,2021-03-06,27.947245,-82.456757,NULL
Kimpton Carlyle Hotel Dupont Circle,www.lyledc.com,https://www.lyledc.com/,1731 New Hampshire Ave Nw,Washington,DC,USA,20009,"https://maps.google.com/?q=Kimpton+Carlyle+Hotel+Dupont+Circle&sll=38.91354,-77.03981",,OTHER,BOUTIQUE,2021-04-01,https://i.travelapi.com/hotels/1000000/10000/6700/6619/80b76306_b.jpg,0,2021-05-31,38.91354,-77.03981,126825
Kimpton Goodland Fort Lauderdale,www.goodlandhotelftlauderdale.com,https://www.goodlandhotelftlauderdale.com/,2900 Riomar Street,Fort Lauderdale,FL,USA,33304,https://www.goodlandhotelftlauderdale.com/,954-908-7301,OTHER,BOUTIQUE,2021-05-01,https://www.goodlandhotelftlauderdale.com/images/banner/pool-03-e4f339e9.jpg,0,2021-06-01,26.128721,-80.106606,NULL
Kimpton Surfcomber Hotel,www.surfcomber.com,https://www.surfcomber.com/,1717 Collins Avenue,Miami Beach,FL,USA,33139,"https://maps.google.com/?q=Kimpton+Surfcomber+Hotel&sll=25.79282,-80.12906",,OTHER,Newly Renovated,2021-04-01,https://i.travelapi.com/hotels/1000000/20000/16000/15996/f0d35bf0_b.jpg,0,2021-05-31,25.79282,-80.129059,139528
La Colombe de Or,www.lacolombedor.com,https://www.lacolombedor.com/,"3410 Montrose Boulevard  , TX 77006",Houston,TX,USA,77006,https://www.lacolombedor.com/,713-524-7999,OTHER,BOUTIQUE,2021-04-01,HTTP://www.lacolombedor.com/,0,2021-06-01,29.741634,-95.391624,NULL
